No,Label,Definition,Examples
1.1,Goal setting (behavior),"Set or agree on a goal defined in terms of the behavior to be achieved Note: only code goal-setting if there is sufficient evidence that goal set as part of intervention; if goal unspecified or a behavioral outcome, code 1.3, Goal setting (outcome); if the goal defines a specific context, frequency, duration or intensity for the behavior, also code 1.4, Action planning",Agree on a daily walking goal (e.g. 3 miles) with the person and reach agreement about the goal  Set the goal of eating 5 pieces of fruit per day as specified in public health guidelines
1.2,Problem solving,"Analyse, or prompt the person to analyse, factors influencing the behavior and generate or select strategies that include overcoming barriers and/or increasing facilitators (includes ‘Relapse Prevention’ and ‘Coping Planning’) Note: barrier identification without solutions is not sufficient. If the BCT does not include analysing the behavioral problem, consider 12.3, Avoidance/changing exposure to cues for the behavior, 12.1, Restructuring the physical environment, 12.2, Restructuring the social environment, or 11.2, Reduce negative emotions","Identify specific triggers (e.g. being in a pub, feeling anxious) that generate the urge/want/need to drink and develop strategies for avoiding environmental triggers or for managing negative emotions, such as anxiety, that motivate drinking  Prompt the patient to identify barriers preventing them from starting a new exercise regime e.g., lack of motivation, and discuss ways in which they could help overcome them e.g., going to the gym with a buddy"
1.3,Goal setting (outcome),"Set or agree on a goal defined in terms of a positive outcome of wanted behavior Note: only code guidelines if set as a goal in an intervention context; if goal is a behavior, code 1.1, Goal setting (behavior); if goal unspecified code 1.3, Goal setting (outcome)",Set a weight loss goal (e.g. 0.5 kilogram over one week) as an outcome of changed eating patterns
1.4,Action planning,"Prompt detailed planning of performance of the behavior (must include at least one of context, frequency, duration and intensity). Context may be environmental (physical or social) or internal (physical, emotional or cognitive) (includes ‘Implementation Intentions’) Note: evidence of action planning does not necessarily imply goal setting, only code latter if sufficient evidence",Encourage a plan to carry condoms when going out socially at weekends  Prompt planning the performance of a particular physical activity (e.g. running) at a particular time (e.g. before work) on certain days of the week
1.5,Review behavior goal(s),"Review behavior goal(s) jointly with the person and consider modifying goal(s) or behavior change strategy in light of achievement. This may lead to re-setting the same goal, a small change in that goal or setting a new goal instead of (or in addition to) the first, or no change Note: if goal specified in terms of behavior, code 1.5, Review behavior goal(s), if goal unspecified, code 1.7, Review outcome goal(s); if discrepancy created consider also 1.6, Discrepancy between current behavior and goal","Examine how well a person’s performance corresponds to agreed goals e.g. whether they consumed less than one unit of alcohol per day, and consider modifying future behavioral goals accordingly e.g. by increasing or decreasing alcohol target or changing type of alcohol consumed"
1.6,Discrepancy between current behavior and goal,"Draw attention to discrepancies between a person’s current behavior (in terms of the form, frequency, duration, or intensity of that behavior) and the person’s previously set outcome goals, behavioral goals or action plans (goes beyond self- monitoring of behavior) Note: if discomfort is created only code 13.3, Incompatible beliefs and not 1.6, Discrepancy between current behavior and goal; if goals are modified, also code 1.5, Review behavior goal(s) and/or 1.7, Review  outcome goal(s); if feedback is provided, also code 2.2, Feedback on behaviour",Point out that the recorded exercise fell short of the goal set
1.7,Review outcome goal(s),"Review outcome goal(s) jointly with the person and consider modifying goal(s) in light of achievement. This may lead to re- setting the same goal, a small change in that goal or setting a new goal instead of, or in addition to the first Note: if goal specified in terms of behavior, code 1.5, Review behavior goal(s), if goal unspecified, code 1.7, Review outcome goal(s); if discrepancy created consider also 1.6, Discrepancy between current behavior and goal","Examine how much weight has been lost and consider modifying outcome goal(s) accordingly e.g., by increasing or decreasing subsequent weight loss targets"
1.8,Behavioral contract,"Create a written specification of the behavior to be performed, agreed on by the person, and witnessed by another Note: also code 1.1, Goal setting (behavior)",Sign a contract with the person e.g. specifying that they will not drink alcohol for one week
1.9,Commitment,"Ask the person to affirm or reaffirm statements indicating commitment to change the behavior Note: if defined in terms of the behavior to be achieved also code 1.1, Goal setting (behavior)","Ask the person to use an “I will” statement to affirm or reaffirm a strong commitment (i.e. using the words “strongly”, “committed” or “high priority”) to start, continue or restart the attempt to take medication as prescribed"
2.1,Monitoring of behavior by others without feedback,"Observe or record behavior with the person’s knowledge as part of a behavior change strategy Note: if monitoring is part of a data collection procedure rather than a strategy aimed at changing behavior, do not code; if feedback given, code only 2.2, Feedback on behavior, and not 2.1, Monitoring of behavior by others without feedback; if monitoring outcome(s) code 2.5, Monitoring outcome(s) of behavior by others without feedback; if self- monitoring behavior, code 2.3, Self- monitoring of behaviour","Watch hand washing behaviors among health care staff and make notes on context, frequency and technique used"
